,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
510,Charreljalving,Marketing Manager 💻 │ Founder & Photographer @TracksideLegend 📸 │@RaceReporterNL #F1 Podcast 🎙 │ Dutch 🇳🇱 │ Motorsports 🏎,Schagen,661,3059,27869,2713,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
511,ScuderiaFerrari,Scuderia Ferrari - The Official Page,Maranello - Italy,50,3340670,59727,6,"#SaudiArabianGP: @marc_gene’s debrief 🇸🇦 

#essereFerrari 🔴 https://t.co/bvPN4Qm0RB","['SaudiArabianGP', 'essereFerrari']"
512,marc_tool,,,792,66,2722,1265,"The moment @LewisHamilton drew level in the championship fight, with victory in Saudi Arabia ⚔️

#SaudiArabianGP 🇸🇦 #F1 https://t.co/plmETztmoh","['SaudiArabianGP', 'F1']"
513,Ultr4Anubis,Gamer || F1 fan || Musical Theatre,,42,10,67,0,Honest opinion? No further action will take place. This whole marketing of the Championship coming down to the last race is brining in the money. Would be a bit silly to DQ on of them. #SaudiArabianGP,['SaudiArabianGP']
514,BONJOVI_2021,I like... CAR 💙 FORMULA1 💙 MUSIC 💙 FASHION 💙 OKINAWA 💙 さまぁ～ず 💙,"《 Fukuoka,Japan 》伊都国",101,55,3981,15135,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
515,vAlxc27,Gold Roses 🌹 | futur MD en OZ | NBA & F1 |🇸🇷| @ManCity,down Under,493,435,45098,614,"#SaudiArabianGP 🇸🇦: Felipe Massa is saying that when you slow down you’re supposed to stay on the outside to show that you’re giving back a position but Max stayed in the middle of the track. “It’s a bit strange, so in my view 5s was quite a small penalty”",['SaudiArabianGP']
516,dcbat,"Daily polls about anything! 🤔😷

#TheResistance",Washington DC,1337,3696,83031,1,"Should K-12 #students be #required to say the #PledgeofAllegiance at #school?

#FortniteFlipped #MINvsDET #BobDole #JoeBrady #LACvsCIN #PHIvsNYJ #SaudiArabianGP #SFvsSEA #BALvsPIT #NYGvsMIA #PHIvsNYJ","['students', 'required', 'PledgeofAllegiance', 'school', 'FortniteFlipped', 'MINvsDET', 'BobDole', 'JoeBrady']"
517,hiddles_jung,"└（★ｏ★）┐.  🇲🇽🐥🐰🐇🐍🐔🦦🦆
#F1 #F2 #Indy #Kpop
#SP11 #MV33 #DR3 #CL16 #CS55 #SV5 💕
'Work Today As A Champion And Live The Rest Of Your Life As A Champion'",México,659,194,31107,2713,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
518,the_squarrell,I want to be untouchable and beautiful and completely dead inside.,plizzanet earth,3223,1237,121039,1,Haas drivers watching all the drama between Verstappen and Hamilton after crashing out early 😂#Formula1 #SaudiArabianGP https://t.co/dRfCAUXh0x,"['Formula1', 'SaudiArabianGP']"
519,RidhwanAzmai,A kid with dream to racing 💫,Malaysia,314,69,5592,332,"RACE REPORT: Hamilton takes win #103 to draw level on points with Verstappen ahead of title decider in Abu Dhabi

#SaudiArabianGP 🇸🇦 #F1 
https://t.co/VaAzKtJirq",['SaudiArabianGP']
520,GnChr1s,"15 yo
ig: kr.lecheww",,9,1,22,323,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
521,Mitch_KJ,,The North,3559,103,308,15135,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
522,Patrick10202049,"De Boca, de Lío y de vos",,92,5,81,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
523,andresperezfria,Ex Abogado General de la Secretaría de Economía y ex Secretario de los órganos de gobierno de IMPI y PROMEXICO. Creando IADVICE4ALL para temas de regulación,"México, DF",703,222,2758,0,The @fia penalized @Max33Verstappen because he didnt put it ease for @LewisHamilton could win. How could be a foul if the car did slipped out in curv #SaudiArabianGP,['SaudiArabianGP']
524,AlainJuniorAka,"A-1👑  🎧🏎🛩🎮⚽️  500% Ivoirien 🇨🇮 A.A12   👻: ajadn241097 🎮Xbox: MrAkaJr
#IZYLIFE",,252,15,161,147,👀 Lewis drinking a suspicious liquid 😆 #SaudiArabianGP https://t.co/af7oxapmRD,['SaudiArabianGP']
525,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366466,11,"21 races done.

1 race to go.

0 points between them.

Points standings in full: https://t.co/OAn1ZN1uU5  

#F1 #SaudiArabianGP https://t.co/xVgInBX9df",['F1']
526,simon_caillet,📸 Insta : simlacaille / 🎙📚M1 Journalisme à l’ESJ Montpellier  / Présentateur de la @Sports_Academy_ tous les mardis à 21h sur Twitch,"Toulon, France",1213,86,1375,15135,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
527,TerenceQuma,"Who am I? Husband, Father, I'm Phakamisa son, son of Willie 1872, son of Mpambane, son of Quma and son of Ndukuda. MPONDOMISE know your family tree",Jozi,1374,114,12807,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
528,87ARodriguez,,Guayaquil,672,358,88064,639,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
529,RidhwanAzmai,A kid with dream to racing 💫,Malaysia,314,69,5592,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
530,BONJOVI_2021,I like... CAR 💙 FORMULA1 💙 MUSIC 💙 FASHION 💙 OKINAWA 💙 さまぁ～ず 💙,"《 Fukuoka,Japan 》伊都国",101,55,3981,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
531,SeanKeyes,UKI Sales @Infogrid ex-@Twitter #LoveTwitter,United Kingdom,6384,6255,67263,2713,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
532,CalmateElvira,Gordo Tucumano. Modelo de slips con toalla.,🇧🇷,561,12011,86814,323,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
533,PattyOchoaMD,"Dermatopathology
Dermatology
Internal Medicine
Medicine
Art and 
Meditation",,1493,1347,12910,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
534,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366466,70,"A challenging race for Hamilton 💪 But Lewis kept his cool to take the victory 🏆

#F1 #SaudiArabianGP 🇸🇦 https://t.co/lA6qT0Vg6k","['F1', 'SaudiArabianGP']"
535,OliverBoisen,"22| Followed by @ManCity 💙💙, McLarenF1 🧡🧡, @SamLee, @442oons | React merchant | RIP Colin Bell",In KDB's basement ,4992,2416,57967,175,"Max on why he left the podium so quickly: ""There was no champagne. Wouldn‘t have been fun.""

#SaudiArabianGP",['SaudiArabianGP']
536,chinaaka0325,金なし,ほったらかし温泉,186,172,131473,2713,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
537,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169271,2713,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
538,Sosoofficial1,"Chelsea FC, Dallas Mavericks 💙💙 . Sports enthusiast ⚽🏉🏏",Vanderbijlpark,809,223,9475,7,"Lol ppl calling Max all sort of names like there wasn't Senna, at a time when safety was a luxury, this is how we won the 1990 Championship 😬😬😬 made sure they both don't finish, luckily the rules now try to make sure ppl don't do this #SaudiArabianGP #AbuDhabiGP https://t.co/Qxw5Wqzbbw",[]
539,aritianarandria,spécialité sport mécanique ⚙️,,393,82,11586,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
540,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366466,7,"Lewis Hamilton headed Max Verstappen in #F1's first #SaudiArabianGP, which was twice red flagged and the two title rivals clashed twice in ugly and near farcical scenes.

Full report ⬇️

https://t.co/2PbTFCM8kn","['F1', 'SaudiArabianGP']"
541,breezybalal,Passionate Arsenal Fan 🔴⚪️,"London, England",645,5173,110311,290,Max is incapable of racing cleanly. How many times do I have to tweet this? #F1 #SaudiArabianGP,"['F1', 'SaudiArabianGP']"
542,milimercadook,"Periodista -CM- 🎮 ⚽🏀🎾
Técnica en Marketing Digital 💻
Categoría ´89  - UNL 
https://t.co/uv6JYcApDv","Santa Fe, Argentina",714,961,24138,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
543,DADDYTOAST21,"|Destiny Lover & Titan Main|

| Imperial Succulence Clan |
| Discord - TOASTI-SAMA#6969|
| Steam - DADDY-TOAST |
---|
https://t.co/CBADFQ29m8",Teaching Saint-14 about Lore,1153,172,11713,15135,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
544,A_B_D_E_L_L_A,sheeeesh,"England, United Kingdom",128,22,247,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
545,NickySawin,"🤍i still remember the first fall of snow, and how it glistened as it fell, i remember it all too well🤍",,221,265,18679,67,"Max fixing his microphone: ""Test, test, test.""

😆

#SaudiArabianGP https://t.co/lCJwkKkC28",['SaudiArabianGP']
546,_bappe_,バッペと申します。,,157,14,118,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
547,BeaBabic,"Less drama, More fun, More love... Three things cannot be long hidden: the sun, the moon and the truth♡

Justin followed 02/04/2017",,898,995,102620,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
548,BONJOVI_2021,I like... CAR 💙 FORMULA1 💙 MUSIC 💙 FASHION 💙 OKINAWA 💙 さまぁ～ず 💙,"《 Fukuoka,Japan 》伊都国",101,55,3981,639,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
549,s_livingit,,,143,272,24579,974,"Christian Horner and Toto Wolff during the Red Flags:

#F1 #WTF1 #SaudiArabianGP 
https://t.co/ktgilboEzJ","['F1', 'WTF1', 'SaudiArabianGP']"
550,saud_mugaiteeb,Proud to always say; ¡HALA MADRID! ¡CAMPEONES! 34 DAS ‘34 💙 LIL UZI PSU’23 🐾, Saudi Arabia,364,193,8086,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
551,MagicAlonsoFan,Hungarian fansite about Fernando Alonso ♥ @alo_oficial  @AlpineF1Team #F1 /editor: Erika/,,69,184,16637,17,"#SaudiArabianGP, Race Debrief ⬇️
“We scored good points with Esteban today, but we need to make sure our pace is back for Abu Dhabi and we end the season on a positive.”
- @alo_oficial",['SaudiArabianGP']
552,childishannibal,🦉,,46,144,61286,51,Who's winning the title? #SaudiArabianGP,['SaudiArabianGP']
553,ZaidArfaj,#PMUER #INTER #FOOTBALLER #BODYBUILDER #MORNING #COFFEE #POSITIVE #BATTLEFIELD #WARZONE #SEALER,"Dammam, Saudi Arabia",514,423,17312,1560,"The big talking point from Jeddah 😱

#SaudiArabianGP 🇸🇦 #F1 https://t.co/bkWWqlcbyO","['SaudiArabianGP', 'F1']"
554,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169271,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
555,Eunan__V2,@CelticFC @ManUtd @albionrovers,"Coatbridge, Scotland",2047,1065,20687,256,Pictured: Verstappen and Hamilton on lap 37 #F1 #SaudiArabianGP https://t.co/QYpSnqWR0w,"['F1', 'SaudiArabianGP']"
556,ItsTheLazyChef,"Human, interested in Tech, Entertainment & Food. 👨🏽‍🍳 @TLCkitchenDxB @LateNightChops","Dubai, United Arab Emirates",18286,55190,419719,323,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
557,LukeSmithF1,Formula 1 reporter for @autosport. @nytimes contributor.,"London, England",752,61578,59668,4,".@TPourchaire has confirmed that he is ""fine"" after being involved in a frightening #F2 start line crash with Enzo Fittipaldi in the feature race at the #SaudiArabianGP: 

https://t.co/3Sn2NxLYEv",['F2']
558,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366466,39,"George Russell says Jeddah's track needs safety changes and thinks there's ""a lot to learn for motorsport"" after a chaotic weekend  https://t.co/anrLQq9YzR #F1 #SaudiArabianGP",[]
559,bermark007,,,202,20,349,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
560,breezybalal,Passionate Arsenal Fan 🔴⚪️,"London, England",645,5173,110311,58,"Booing for Verstappen. I don't really like that, but if there was ever a case that it's deserved it's this one... #F1 #SaudiArabianGP 🇸🇦",['F1']
561,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366466,1018,"Final classification after a crazy race in Jeddah 👇

#SaudiArabianGP 🇸🇦 #F1 https://t.co/d1pvEnL5Ei","['SaudiArabianGP', 'F1']"
562,kaseone,"Husband, #GirlDad, accountant, runner, and carnivore. Loves: learning, music, hiking, politics, camping, weather, aviation, living clean.","Littleton, CO",330,71,627,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
563,rmoheeputh,"Live every act fully, as if it were your last. ~ Buddha",cheshunt mostly ,2290,437,60528,8,"""That has got to be the craziest race I remember!""

Lewis and Bono debrief after the flag in Jeddah 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/UxgEOBLcoL","['SaudiArabianGP', 'F1']"
564,baddeybihhhhhh,"SO3. Architectural Designer. 131. 
Red Bull Racing.",Max Verstappen,187,122,23816,270,"Race result #SaudiArabianGP 🏁 HAM, Max P2 🏆, BOT, OCO, RIC, GAS, LEC, SAI, GIO, NOR. Checo DNF 😫 #F1 https://t.co/cG8ykPz9q8","['SaudiArabianGP', 'F1']"
565,That_Arson,They/he,,39,4,155,974,"Christian Horner and Toto Wolff during the Red Flags:

#F1 #WTF1 #SaudiArabianGP 
https://t.co/ktgilboEzJ","['F1', 'WTF1', 'SaudiArabianGP']"
566,RidhwanAzmai,A kid with dream to racing 💫,Malaysia,314,69,5592,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
567,Rapunzel290903,"Torcendo por Sir Lewis Hamilton, Lando Norris e Felipe Drugovich🏎
Palmeirense de alma e coração🐷
Proud to be Slytherin🐍
Directioner a espera do fim do Hiatus",Terra das Cataratas ,1482,749,32269,201,"“Don’t push me, I’m going to cry,” Esteban Ocon to Sky after losing a podium on the line 🥺 #SaudiArabianGP",['SaudiArabianGP']
568,ChilyVegaz,Männlich 24 Student und am Meer am glücklichsten// Sport und Gamingenthusiast 😁,Deutschland,321,14,7873,323,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
569,_brzzzz_,"French vroom vroom Fan 🏎 
#AH19 #PG10","Toulouse, France 🇨🇵",793,69,20209,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
570,87ARodriguez,,Guayaquil,672,358,88064,1731,"LEWIS: ""I've been racing a long time, but that was incredibly tough! I tried to be as tough and as sensible as I could out there, with all my experience over the years... It as difficult, but we persevered as a team""

#SaudiArabianGP 🇸🇦 #F1 https://t.co/chzxvXuiaW",[]
571,Mohsinbinimran1,"Always hope but never expect.                         

Football and F1 enthusiast.",🇵🇰 x 🇦🇪,462,513,53827,227,"For those of you pushing the British media's ""Max left no space"" bs, use your eyes please.
#SaudiArabianGP https://t.co/YJyaDnjhoF",['SaudiArabianGP']
572,Nozinoh,« Je suis convaincu que Marseille est la plus belle ville de France. Elle est tellement différente de toutes les autres ».,South of France.,532,1077,60596,1265,"The moment @LewisHamilton drew level in the championship fight, with victory in Saudi Arabia ⚔️

#SaudiArabianGP 🇸🇦 #F1 https://t.co/plmETztmoh","['SaudiArabianGP', 'F1']"
573,ErminColon,Los dogmas políticos y religiosos son los más grandes peligros de la  especie humana!,Venezuela - Anzóategui.,2887,9831,37694,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
574,ricas_varela,"Estudiante de Ingeniería en Sistemas Computacionales, me gustan los perros y jugar videojuegos.","Aguascalientes, México",1383,362,8421,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
575,asieri15,SUPER FAN del ATHLETIC el BARAKALDO C.F y de FERNANDO ALONSO,,515,88,53545,15135,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
576,RidhwanAzmai,A kid with dream to racing 💫,Malaysia,314,69,5592,611,"Both Max Verstappen and Lewis Hamilton have been summoned to the FIA Stewards following their on-track battle in Jeddah

#SaudiArabianGP 🇸🇦 #F1

https://t.co/EzxcrlQd5P",[]
577,pacsab,Banking and Payments. Some crypto. Some Fintech and Paytech. Formula 1. Alan Wilder and Depeche Mode fan. And @DUALIPA,Hungary,685,61,1036,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
578,BWQJuaVQpegSuUA,"フォロ返し要りません。好きなモノ集め。新日プロレス。空自機＆米軍機本命 。WRC。WEC 24時間。F1GP。インディ500。モナコGP。CrossCountryRallies。パリダカ✈️40th祝AGGR
          【🌸女子です🌸】🌳やっと新ガチャ、マシュマロクマonココア🌳森本慎太郎🌳",,220,14,3429,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
579,BONJOVI_2021,I like... CAR 💙 FORMULA1 💙 MUSIC 💙 FASHION 💙 OKINAWA 💙 さまぁ～ず 💙,"《 Fukuoka,Japan 》伊都国",101,55,3981,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
580,ItsJustiice,@ManUtd @joaofelix70  @rayan_cherki @ScuderiaFerrari @Charles_Leclerc,LUHG,515,382,14217,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
581,DatSupra1,Idk,"Budapest, Magyarország",72,6,74,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
582,Goatstappen_,"MV33, SP11, PG10, Red Bull Racing","Dortmund, Germany",50,31,897,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
583,vvHarri,,The Goat,93,38,51,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
584,cynicaldzn,seventeen | 🇳🇱 | social media design @method2m,"COMS OPEN, DM ME🌟",789,660,23526,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
585,_AlanHdz_,,,458,53,2929,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
586,carlijnhendrik5,,,206,8,1336,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
587,zeki_ejl,Ingeniero informático rolling release.,,505,212,7450,135,"WTF they use for front wings? 

#SaudiArabianGP https://t.co/Ahg84RXHEK",['SaudiArabianGP']
588,jthemmings,MUFC 🔴⚪️⚫️,,1191,504,25161,11,"Where to start? How about with an apology?! Driving standards sink lower and lower week after week. But, of course, in your mind you’re the victim. You believe you can do no wrong. Grow up. Do better! #F1 #SaudiArabianGP 🇸🇦 https://t.co/vtGbjx5kVX",[]
589,JayGezer14,,,261,43,3306,169,"A very happy, but very tired honey badger. 😁🛌

A well-earned sleep coming, @DanielRicciardo. Great job today! 👏

#SaudiArabianGP 🇸🇦 https://t.co/MFnxUzrLRN",[]
590,keremx1905,,Türkiye,1375,588,3439,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
591,Isaville10,⚽️|🎾|🏎,London ,189,150,13824,2715,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
592,chopanf,,,51,235,182604,639,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
593,kickstartlt,LT Faith in the future | F1 Puro Checo Pérez11 CS55,,720,2279,102554,207,"🔥 Fiery words from Max Verstappen post-race 💬

#F1 #SaudiArabianGP 🇸🇦 https://t.co/MgqOMoi5Pn","['F1', 'SaudiArabianGP']"
